32
6	 0.0015	  0.7634   0.0000	 	
6	-0.0015	 -0.7634   0.0000	 	
6	-1.3985	  1.3724   0.0000	 	
6	 1.3985	 -1.3724   0.0000	 	
6	-1.3985	  2.8989   0.0000	 	
6	 1.3985	 -2.8989   0.0000	 	
6	-2.7989	  3.5068   0.0000	 	
6	 2.7989	 -3.5068   0.0000	 	
6	-2.7863	  5.0329   0.0000	 	
6	 2.7863	 -5.0329   0.0000	 	
1	 0.5512	  1.1228   0.8750	 	
1	 0.5512	  1.1228  -0.8750	 	
1	-0.5512	 -1.1228   0.8750	 	
1	-0.5512	 -1.1228  -0.8750	 	
1	-1.9479	  1.0123  -0.8749	 	
1	-1.9479	  1.0123   0.8749	 	
1	 1.9479	 -1.0123  -0.8749	 	
1	 1.9479	 -1.0123   0.8749	 	
1	-0.8497	  3.2601   0.8749	 	
1	-0.8497	  3.2601  -0.8749	 	
1	 0.8497	 -3.2601   0.8749	 	
1	 0.8497	 -3.2601  -0.8749	 	
1	-3.3466	  3.1458  -0.8742	 	
1	-3.3466	  3.1458   0.8742	 	
1	 3.3466	 -3.1458  -0.8742	 	
1	 3.3466	 -3.1458   0.8742	 	
1	-3.7964	  5.4419   0.0000	 	
1	-2.2706	  5.4188   0.8801	 	
1	-2.2706	  5.4188  -0.8801	 	
1	 3.7964	 -5.4419   0.0000	 	
1	 2.2706	 -5.4188   0.8801	 	
1	 2.2706	 -5.4188  -0.8801	 	
